"Abbreviation","Species","Relative_frequency","p05_mat","p50_mat","p95_mat","iqr_mat","p05_mwmt","p50_mwmt","p95_mwmt","iqr_mwmt","p05_mcmt","p50_mcmt","p95_mcmt","iqr_mcmt","p05_td","p50_td","p95_td","iqr_td","p05_map","p50_map","p95_map","iqr_map","p05_msp","p50_msp","p95_msp","iqr_msp","p05_ahm","p50_ahm","p95_ahm","iqr_ahm","p05_shm","p50_shm","p95_shm","iqr_shm","p05_ffp","p50_ffp","p95_ffp","iqr_ffp","p05_pas","p50_pas","p95_pas","iqr_pas","p05_emt","p50_emt","p95_emt","iqr_emt","p05_ext","p50_ext","p95_ext","iqr_ext","p05_eref","p50_eref","p95_eref","iqr_eref","p05_cmd","p50_cmd","p95_cmd","iqr_cmd","p05_rh","p50_rh","p95_rh","iqr_rh","p05_rh_sm","p50_rh_sm","p95_rh_sm","iqr_rh_sm","p05_hi","p50_hi","p95_hi","iqr_hi"
"Ahtsph","Nephromopsis_sphaerosporella",0.01,-0.34,4.5,8.91,3.95,10.21,14.8,19.39,4.25,-10.5,-3.8,2.29,4.9,15.4,18.9,22.7,3.89,546.8,1181,2295.9,733.25,84,268,568.4,199.75,5.43,11.33,30.71,7.85,18.02,55.4,217.79,67.3,58.7,104,158.3,44,54.4,407,1094.9,443.75,-43.33,-31.3,-19.62,7.65,27.37,33.6,39,4.85,350.3,606,942.65,254.88,0,263.5,585.6,330.83,55.17,62,71.3,7,29.7,47.5,63.3,16,8.57,13.5,18.62,4.45
"Aleims","Alectoria_imshaugii",0.04,3,6.3,12.25,3.51,14.28,17,20.31,2.8,-6.74,-2.5,7.57,4.25,8.53,20.25,23.56,4.84,486.3,992,2131.15,576,73.77,212,415.4,140.56,7.47,17.4,37.41,12.5,34.03,82.3,253.03,55.29,79.8,122,259.27,45.78,8.8,214,635.35,286.83,-36.67,-29.2,-10.27,8.37,32.4,36.5,39.82,3.88,561.67,754.17,969.4,166.19,131.57,394,616.8,214.45,53,61.5,71,6.75,28.93,43,68.2,14,12.89,15.76,19.35,2.91
"Alelat","Alectoria_lata",0,2.9,7.05,14.34,5.75,13.3,18.4,22.7,4.25,-13.4,-2.6,9,6.1,8.6,19.7,30.8,10.15,671.5,1260.5,2671.5,807.33,127,467,723.33,193,6.1,14.88,33.15,10,23.03,42.2,121.1,16.1,98,141,253,45,2,198.67,913,305.33,-39.6,-28.73,-11.7,7.8,31.3,34.9,39.3,3.23,530,724,1453.2,295,25.67,152,804.4,180,47,62,71,7,43,60.33,70,10,11.96,17.78,22.67,4.78
"Alesar","Alectoria_sarmentosa",0.16,-3.34,5.3,11.3,4.6,10.82,15.3,20.38,3.97,-21.98,-3.8,4.75,7.95,11.51,20.5,32.78,7.7,493.2,1156.6,3588.2,940,112.71,393,977.13,279.33,3.84,11.6,31.95,8.1,12.99,38.8,169.04,39.75,64,124,231.4,59.5,29.8,342.75,808.88,314.4,-45.76,-30.1,-13.92,13.4,28.36,32.9,39.48,5.13,315.3,569,945.4,283.09,0,99,549.2,309,55.13,66.33,79,10,34,64,78.77,24,9.82,14.57,19.61,3.97
"Alevan","Alectoria_vancouverensis",0,3.84,10,11.83,2.49,14.23,17.26,19.67,2.4,-4.5,3.56,6.94,3.31,10.24,14.3,18.57,2.72,611.55,1756,3332.85,1060,137.12,254.5,619.45,180,5.44,11.5,24.26,9.31,24.2,62.63,136.49,52.81,101.88,200.5,253.8,45.33,12.9,63.5,641.55,178.5,-31.33,-16.2,-10.93,4.6,31.93,35.25,39.95,3.32,522.95,686,984.27,203.62,8.9,264.75,543.5,181,59.3,69,75.85,8.12,40.6,61,72.78,14.12,13.1,16.7,18.76,2.41
"Anapal","Anaptychia_palmulata",0.01,3.74,10.8,19.02,8.1,17.5,21.89,27.33,5.17,-12.02,-1,11.64,11.4,13.9,24.23,31.26,6.63,727.4,1176.5,1589.47,295,397.2,518,708,83,12.14,18.4,25.12,5.1,30.59,41.8,52.86,8.93,119,165,295.2,62,0,40.5,337.25,162.08,-38.64,-27.55,-12.56,11.7,34.1,37.65,41.16,3.2,609.2,957.5,1541.2,471,35,144,448.6,132,56,61,66,4.2,54,62,68.4,5,16.88,21.79,29.04,5.88
"Anzcol","Anzia_colpodes",0,5.26,12.6,18.05,6.45,17.95,23.5,27.47,5.02,-10.15,0.8,7.86,5.92,18.55,22.65,29.73,4.77,850.25,1195.5,1667.49,233.5,432.5,511.5,679.65,84.62,12.16,18.05,23.5,5.68,32.63,44.45,56.03,10.22,124,178.36,243.75,41.75,1.65,17.36,368.51,112.5,-37.01,-25.8,-17.53,5.97,33.5,38.45,41.64,4.53,626.43,1097.5,1379.35,459.38,40.53,159,358.65,156,57,61,72.35,4,55.7,62,72.7,6,17.5,23.53,29.09,5.5
"Brcpse","Bryocaulon_pseudosatoanum",0.01,2.75,5.95,7.89,0.92,12.9,13.55,14.8,0.85,-7.78,-0.17,2.33,2.23,11.43,13.97,22.53,2.65,653.1,2943.92,5071.75,1003.75,325.6,803,1276.87,344.5,3.1,6,19.64,2.25,10.88,17.35,45.44,7.7,112.95,158.5,201.74,18,136.61,383.5,837.25,256.12,-37.68,-23.17,-17.1,5.95,29.29,30.2,31.56,1.01,402.95,434.75,460.03,38.75,0,0,151.9,0,66,77.67,80.05,3.12,68.95,75,80.01,3.25,12.2,12.88,14.15,0.97
"Brybic","Bryoria_bicolor",0.02,-4.5,5.67,9.59,3.06,11.67,13.87,17.59,2.06,-23.02,-1.25,4.19,5.25,11.14,15.1,35.48,6.9,623.5,2421,4113.33,1958.33,260.5,632.5,1431.75,450.04,3.35,6.55,14.7,3.94,8.8,22.52,50.12,16.22,76,152,223.42,56.19,73.25,396,1062,348.25,-47.48,-25.45,-14.8,9.75,26.85,30.7,34.8,2.46,257.12,441.5,788.5,137.5,0,0,166.62,24,60.25,76,81.75,8.5,61,73.75,82,10.62,10.54,13.2,17.04,2.21
"Brycap","Bryoria_capillaris",0.08,-1.8,5.3,10.5,4.5,11.7,15.9,19.4,3.6,-18.3,-5.2,4.45,10.07,11.8,21.23,34.4,10.07,490,1059.5,2992.5,739.2,127,393,924,214,5.1,13.4,31.1,8.7,15.27,41.6,132.8,31.6,68,122,223.75,48,27,290.5,780,243,-45.5,-32.2,-14.85,13.5,29.1,34.2,39.14,4.8,347,588,847,211.5,0,116.5,486,247,55,65,78,9,37,62,78,20,10.7,15.08,18.93,3.74
