"Abbreviation","Species","MWMT_overlap","CMD_overlap","Relative_frequency"
"Ahtsph","Nephromopsis_sphaerosporella",0.669269757367509,0.673215301445966,0.014
"Aleims","Alectoria_imshaugii",0.932205523395205,0.898546112926167,0.044
"Alelat","Alectoria_lata",0.311742183434441,0.141259492618295,0
"Alesar","Alectoria_sarmentosa",0.888354813056233,0.874158095531292,0.161
"Alevan","Alectoria_vancouverensis",0.620358244941904,0.620491566817674,0.005
"Anapal","Anaptychia_palmulata",0.766783077280586,0.836759815575022,0.013
"Anzcol","Anzia_colpodes",0.779549617572165,0.483218838453669,0.001
"Brcpse","Bryocaulon_pseudosatoanum",0.830997407135416,0.675699619477593,0.008
"Brybic","Bryoria_bicolor",0.737275185222456,0.7996235734687,0.022
"Brycap","Bryoria_capillaris",0.886573510760225,0.731655842224015,0.076
"Brycar","Bryoria_carlottae",0.78285871475638,0.129948403483759,0.006
"Brycer","Bryoria_cervinula",0.842273978781087,0.0576535536039535,0.006
"Bryfre","Bryoria_fremontii",0.823453073420614,0.803644855045121,0.076
"Bryfri","Bryoria_friabilis",0.873240255289334,0.946590582863814,0.01
"Bryfur","Bryoria_furcellata",0.665294562199196,0.675667852327491,0.03
"Bryfus","Bryoria_fuscescens",0.908949134786035,0.71159718290933,0.146
"Brygla","Bryoria_glabra",0.889678205759057,0.8953588180874,0.029
"Bryimp","Bryoria_implexa",0.788000980455848,0.54468958989924,0.001
"Brylan","Bryoria_lanestris",0.720944989189421,0.642641009950087,0.007
"Brynad","Bryoria_nadvornikiana",0.461782083658085,0.66556827119704,0.006
"Brypik","Bryoria_capillaris",0.543175999488977,0.906023493018699,0.001
"Brypsc","Bryoria_pseudocapillaris",0.261042828277544,0.048499087150338,0
"Brypse","Bryoria_pseudofuscescens",0.791619150800536,0.789980611912646,0.053
"Brysim","Bryoria_simplicior",0.553643802095824,0.333777540270609,0.015
"Bryspi","Bryoria_spiralifera",0.253770063220063,0.0241206929410272,0
"Brysub","Bryoria_subcana",0.627231317524708,0.831135670520467,0
"Bryten","Bryoria_tenuis",0.658284663364148,0.554014222246482,0.017
"Brytri","Bryoria_trichodes",0.570975019324971,0.585408467843517,0.053
"Bulcon","Bulbothrix_confoederata",0.271334292576741,0.763550032686712,0.001
"Bulgoe","Bulbothrix_scortella",0.617178139306079,0.807389000236688,0.009
"Bulisi","Bulbothrix_isidiza",0.655979648740676,0.255197246030294,0
"Bullae","Bulbothrix_laevigatula",0.500761046879778,0.80818085282677,0.001
"Canama","Canoparmelia_amazonica",0.0351537857696134,0.0459451270005984,0
"Canamb","Canoparmelia_amabilis",0.734900504033346,0.810747225233648,0.001
"Cancar","Canoparmelia_caroliniana",0.724994885530844,0.882834772052526,0.038
"Cancro","Crespoa_crozalsiana",0.654279859032064,0.486975322277083,0.014
"Cancry","Canoparmelia_cryptochloro",0.777941378267953,0.793199868396987,0.002
"Cansal","Canoparmelia_salacinifera",0.322329568535452,0.524748101602408,0
"Cantex","Canoparmelia_texana",0.851038515371555,0.73546987518382,0.006
"Cavhul","Hypogymnia_hultenii",0.719197868669768,0.299908804950735,0.052
"Cavlop","Hypogymnia_lophyrea",0.758070735604008,0.405648621030666,0.024
"Celcet","Cetrelia_cetrarioides",0.83374615859053,0.728259749780351,0.014
"Celchi","Cetrelia_chicitae",0.728299409687286,0.720839265506301,0.003
"Celoli","Cetrelia_olivetorum",0.873495405853654,0.831014021852929,0.012
"Cetaur","Nephromopsis_aurescens",0.66405912407184,0.814231930576478,0.009
"Cetcal","Nephromopsis_tuckermanii",0.442241345067441,0.508502955884901,0.004
"Cetchl","Nephromopsis_chlorophylla",0.842380388351003,0.90018843330578,0.154
"Cetcil","Nephromopsis_ciliaris",0.705399770616672,0.697412858009424,0.035
"Cetcor","Nephromopsis_coralligera",0.67234318457364,0.491919104574404,0.002
"Cetmer","Nephromopsis_merrillii",0.792000710602853,0.788971718092879,0.073
"Cetoak","Cetraria_oakesiana",0.82763517308055,0.829974078714903,0.078
"Cetorb","Nephromopsis_orbata",0.871670461593069,0.777277397470379,0.137
"Cetpal","Cetraria_pallidula",0.861432577850124,0.828967470469577,0.01
"Cetpla","Cetraria_platyphylla",0.859289769181761,0.83252550178768,0.095
"Cetsep","Cetraria_sepincola",0.819392549224982,0.710157444336688,0.004
"Cetsub","Nephromopsis_subalpina",0.849030291536618,0.906414290326234,0.001
"Cetvir","Cetraria_viridis",0.793712284831547,0.628129765154811,0.001
"Cetweb","Nephromopsis_weberi",0.691147934606315,0.489951312716727,0.001
"Claalb","Cladonia_albonigra",0.660225743144255,0.761712133708344,0.005
"Clabac","Cladonia_bacillaris",0.725173398486639,0.868280077743874,0.027
"Clabel","Cladonia_bellidiflora",0.610199150279218,0.498644032264855,0.023
"Clacae","Cladonia_caespiticia",0.723179218779518,0.805626218179951,0.017
"Clacar","Cladonia_carneola",0.847084640062568,0.754269346520543,0.012
"Clacen","Cladonia_cenotea",0.544823714028664,0.792762537213457,0.004
"Clachl","Cladonia_chlorophaea",0.797621342651887,0.833480029373005,0.047
"Clacon","Cladonia_coniocraea",0.85563839448906,0.884014315033982,0.167
"Clacri","Cladonia_cristatella",0.813866292181475,0.772158235360914,0.013
"Clacyl","Cladonia_cylindrica",0.729161375452934,0.882763278820596,0.012
"Cladef","Cladonia_deformis",0.637595166078742,0.762778063403457,0.003
"Cladid","Cladonia_didyma",0.623464325406704,0.779742814493433,0.003
"Clafim","Cladonia_fimbriata",0.847422648288156,0.772781700548493,0.03
"Clafur","Cladonia_furcata",0.785261156833612,0.650937141684486,0.004
"Clagra","Cladonia_grayi",0.612899642654257,0.663217861029245,0.005
"Clamac","Cladonia_macilenta",0.711828927517215,0.854835212789713,0.019
"Clanor","Cladonia_norvegica",0.84476060194247,0.788030220288363,0.003
"Clapar","Cladonia_parasitica",0.666432944818631,0.876125130732738,0.01
"Clapex","Cladonia_peziziformis",0.770135164135324,0.785767686621556,0.001
"Claple","Cladonia_pleurota",0.391600707119483,0.579516712083284,0.004
"Clapyx","Cladonia_pyxidata",0.894116455067666,0.833789232120877,0.009
"Claram","Cladonia_ramulosa",0.744773857444849,0.814417290660032,0.005
"Clarei","Cladonia_rei",0.70818699633042,0.805610777855094,0.003
"Clasqu","Cladonia_squamosa",0.656675207719807,0.638129493259385,0.048
"Classq","Cladonia_squamosa_v_subsquamosa",0.869432571293866,0.971744232776651,0.008
"Clasul","Cladonia_sulphurina",0.827480851857545,0.688136904962887,0.006
"Clatra","Cladonia_transcendens",0.852714947677667,0.889508029875615,0.035
"Claumb","Cladonia_umbricola",0.647710018863472,0.599776310800341,0.02
"Claver","Cladonia_verruculosa",0.860860303242209,0.915884375174015,0.003
"Cndcon","Candelaria_concolor",0.782962978925693,0.740964404066501,0.164
"Cndfib","Candelaria_fibrosa",0.453142031934068,0.630355087851228,0.005
"Cndpac","Candelaria_pacifica",0.573247816136749,0.475638541297931,0.023
"Cocery","Coccocarpia_erythroxyli",0.132799992896984,0.0640821439947397,0
"Cocpal","Coccocarpia_palmicola",0.795187696600026,0.736921306239735,0.002
"Colcon","Enchylium_conglomeratum",0.576419701017424,0.219157368017698,0.002
"Colcur","Collema_curtisporum",0.396438170757381,0.254815309337124,0.001
"Colfur","Collema_furfuraceum",0.77571985417967,0.653172883780381,0.019
"Colnig","Collema_nigrescens",0.738408310112583,0.65835985232264,0.011
"Colocc","Rostania_occultata",0.570614149468707,0.239772083666929,0
"Colsub","Collema_subflaccidum",0.77414207939368,0.698766837264942,0.006
